排名,电影名,得分,评分人数,主演和导演,简介
1,肖申克的救赎,9.7,9.7,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins/...,希望让人自由。
2,霸王别姬,9.6,9.6,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung/张丰毅FengyiZha...,风华绝代。
3,阿甘正传,9.5,9.5,导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks/...,一部美国近现代史。
4,这个杀手不太冷,9.4,9.4,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno/娜塔莉·波特曼...,怪蜀黍和小萝莉不得不说的故事。
5,泰坦尼克号,9.4,9.4,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...,失去的才是永恒的。 
6,美丽人生,9.5,9.5,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...,最美的谎言。
7,千与千寻,9.4,9.4,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi/入野自由Miy...,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,9.5,9.5,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...,拯救一个人，就是拯救整个世界。
9,盗梦空间,9.3,9.3,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,9.4,9.4,导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...,永远都不能忘记你所爱的人。
11,海上钢琴师,9.3,9.3,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth/...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,星际穿越,9.3,9.3,导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...,爱是一种力量，让我们超越时空感知它的存在。
13,楚门的世界,9.3,9.3,导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,如果再也不能见到你，祝你早安，午安，晚安。
14,三傻大闹宝莱坞,9.2,9.2,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan/卡...,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,9.3,9.3,导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt/艾丽...,小瓦力，大人生。
16,放牛班的春天,9.3,9.3,导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:热拉尔·朱尼奥Gé...,天籁一般的童声，是最接近上帝的存在。 
17,大话西游之大圣娶亲,9.2,9.2,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...,一生所爱。
18,熔炉,9.3,9.3,导演:黄东赫Dong-hyukHwang主演:孔侑YooGong/郑有美Yu-miJung/...,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
19,疯狂动物城,9.2,9.2,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore主演:金妮弗·...,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
20,无间道,9.2,9.2,导演:刘伟强/麦兆辉主演:刘德华/梁朝伟/黄秋生,香港电影史上永不过时的杰作。
21,龙猫,9.2,9.2,导演:宫崎骏HayaoMiyazaki主演:日高法子NorikoHidaka/坂本千夏Ch...,人人心中都有个龙猫，童年就永远不会消失。
22,教父,9.3,9.3,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:马龙·白兰度M...,千万不要记恨你的对手，这样会让你失去理智。
